,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
aguacate,+,+,+,+,+,-,-, , ,-,+,+
albaricoque, , , , ,+,+,-, , , , , 
arándano, , , , , , ,+,+, , , , 
caqui,-, , , , , , , , ,-,+,+
cerezas, , , , ,+,+, , , , , , 
chirimoya, , , , , , , , ,-,+,+,+
ciruela, , , , ,-,+,+,+,-, , , 
frambuesa, , , , , ,-,+,+,+,+, , 
fresas, , , ,-,+,+,+,+,-,-, , 
granada, , , , , , , , ,-,+,+,-
guayaba,+,-, , , , , , ,-,+,+,+
higos, , , , , , ,-,+,+,-, , 
kiwi,+,+,-, , , , , ,-,+,+,+
lima, , , , , , , , ,-,+,+,-
limón,+,+,+,+,-, , , , ,-,+,+
mandarina,+,+,+,-,-, , , ,-,+,+,+
mango, , , , , , , ,-,+,+,+,-
manzana, , , , , , , ,-,+,+,+,-
melocotón, , , , ,-,+,+,+,-,-, , 
melón, , , , , ,-,+,+,+,-, , 
membrillo,-,-, , , , , , , ,+,+,+
naranja,+,+,+,+,+,-, , , , ,+,+
nectarina, , , , ,-,+,+,-, , , , 
níspero, , ,-,+,+,-, , , , , , 
papaya,+,-, , , , , ,-,+,+,+,+
paraguayo, , , , ,-,+,+,-, , , , 
pera, , , , , , ,+,+,+,+, , 
pitahaya,-,-, , , , ,-,-,+,+,+,+
plátano,+,+,+,+,+,+,+,+,+,+,+,+
pomelo,+,+,-, , , , , , ,-,+,+
sandía, , , , ,-,+,+,+,+,-, , 
uvas, , , , , , , ,-,+,+,+,-
